X1,EDAT,SEXE,ANTIGUETAT,ESCOLA,DEPARTAMENT,TIPUS,ALTRAUNI,REDUCCIO,DOCTOR,ANYTESI,RAOTESI,ACREDITACIO,ANYACREDITACIO,FENTTESI,RAOFENTTESI,DISPOSATTESI,CARRERA,ASSOCIAT,FALSASSOCIAT,EXPECTATIVES,GESTIO,RENOVACIO,X2,BONTRACTE,X3,FORMACIO,SATISFET,ASSEMBLEES,MOBILITZACIONS
"44130,70797",De 55 a 60 anys,Home,2 - Entre 2 i 5 anys,ETSEIB,732/OE,No ho sé,1,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,1 - No contesto,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,4,,3,3,0 - No,0 - No
"44130,71519",De 35 a 44 anys,Home,1 - Menys de 2 anys,FIB,723/CS,Tipus T1,1,1 - No,2 - Si,2014,4 - Vull fer carrera acadèmica,Lector/a,2020,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,3 - Si,0 - No contesto,1 - No,,3,,2,2,1 - No contesto,1 - No contesto
"44130,7184",De 25 a 34 anys,0 - No contesto,2 - Entre 2 i 5 anys,ESEIAAT,702/CEM,No ho sé,0,2 - Si,2 - Si,2019,4 - Vull fer carrera acadèmica,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,2,,2,2,1 - No contesto,1 - No contesto
"44130,71989",Més de 60 anys,Home,3 - Entre 6 i 10 anys,EEBE,717/DEGD,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,0 - No,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,2,,2,2,1 - No contesto,1 - No contesto
"44130,72563",De 45 a 54 anys,Home,4 - Entre 11 i 20 anys,ESEIAAT,732/OE,Tipus T2,1,1 - No,2 - Si,2010,4 - Vull fer carrera acadèmica,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,3 - Si,2 - Màster,2 - Si,,3,,1,1,1 - No contesto,1 - No contesto
"44130,72797",De 35 a 44 anys,Home,2 - Entre 2 i 5 anys,EEBE,729/MF,No ho sé,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,0 - No,2 - Si,0 - No,3 - Si,0 - No contesto,2 - Si,,4,,3,3,0 - No,2 - Si
"44130,73261",De 25 a 34 anys,Dona,2 - Entre 2 i 5 anys,ETSEIB,712/EM,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,1 - Personal,1 - No contesto,0 - No,2 - Si,0 - No,0 - No,0 - No contesto,1 - No,,4,,4,4,1 - No contesto,1 - No contesto
"44130,7431",De 45 a 54 anys,Home,2 - Entre 2 i 5 anys,EEBE,709/EE,Tipus T1,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,4 - Acadèmica,1 - No contesto,2 - Si,0 - No,0 - No,3 - Si,0 - No contesto,1 - No,,4,,3,2,2 - Si,2 - Si
"44130,74918",De 45 a 54 anys,Dona,4 - Entre 11 i 20 anys,ETSECCPB,751/DECA,Tipus T2,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,0 - No,0 - No,2 - Si,0 - No,0 - No,2 - Màster,1 - No,,1,,3,2,1 - No contesto,2 - Si
"44130,75464",De 45 a 54 anys,Dona,4 - Entre 11 i 20 anys,ETSAB,753/TA,Tipus T1,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,1 - No contesto,2 - Si,0 - No,2 - Depèn,3 - Grau i Màster,1 - No,,1,,3,3,2 - Si,2 - Si
"44130,75882",De 35 a 44 anys,Dona,2 - Entre 2 i 5 anys,ESAB,749/MAT,Tipus T1,1,2 - Si,2 - Si,2007,1- Realització personal,"Lector/a, Agregat/da, Contractat/da doctor/a",2020,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,2 - Si,2 - Si,0 - No,0 - No contesto,2 - Si,,2,,1,1,2 - Si,2 - Si
"44130,76214",Més de 60 anys,Home,5 - Més de 20 anys,EEBE,712/EM,Tipus T1,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,0 - No,1 - No contesto,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,2,2,2 - Si,2 - Si
"44130,76506",De 45 a 54 anys,Home,2 - Entre 2 i 5 anys,ETSAB,752/RA,Tipus T1,1,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,1 - No contesto,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,0 - No contesto,,2,2,1 - No contesto,1 - No contesto
"44130,78546",De 45 a 54 anys,Home,2 - Entre 2 i 5 anys,ETSAV,735/PA,Tipus T1,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,2 - Depèn,1 - Grau,1 - No,,4,,4,3,2 - Si,2 - Si
"44130,78638",De 35 a 44 anys,Home,3 - Entre 6 i 10 anys,ESEIAAT,724/MMT,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,1 - No contesto,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,4,,3,3,0 - No,0 - No
"44130,78745",De 45 a 54 anys,Home,4 - Entre 11 i 20 anys,"ESEIAAT, ETSETB, ETSEIB",724/MMT,Tipus T3,1,1 - No,2 - Si,2010,2 - Carrera profesional,"Lector/a, Contractat/da doctor/a",2012,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,3 - Si,3 - Grau i Màster,2 - Si,,2,,1,1,1 - No contesto,1 - No contesto
"44130,80066",De 35 a 44 anys,Home,4 - Entre 11 i 20 anys,"ETSEIB, FIB, CITEM",723/CS,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,4 - Acadèmica,1 - No contesto,2 - Si,0 - No,2 - Si,2 - Depèn,3 - Grau i Màster,2 - Si,,3,,2,1,1 - No contesto,1 - No contesto
"44130,80718",De 25 a 34 anys,Home,1 - Menys de 2 anys,ETSEIB,712/EM,Tipus T1,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,1 - No contesto,1 - No contesto,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,3,3,1 - No contesto,1 - No contesto
"44130,81471",De 45 a 54 anys,Home,3 - Entre 6 i 10 anys,ETSECCPB,751/DECA,Tipus T1,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,0 - No,0 - No,2 - Si,0 - No,3 - Si,0 - No contesto,1 - No,,4,,4,4,1 - No contesto,1 - No contesto
